param,value,asof,source,is_assumed
aum_trn_krw,1865.6,2026-06-30,기금운용본부 공시(2026.6 총자산),0
w_eq_kr_now,0.291,2026-06-30,기금운용본부 공시(2026.6 국내주식 비중),0
w_eq_kr_target_2027,0.208,2026-05-28,기금운용위원회 의결,0
w_eq_gl_target_2027,0.356,2026-05-28,기금운용위원회 의결,0
w_equity_target_2031,0.55,2026-05-28,기금운용위원회 의결,0
band_saa_taa_pp,0.05,2026-05-28,SAA·TAA 허용범위 합계(기존 상단 19.9% = 14.9 + 5.0),0
mktcap_kr_trn_krw,7000.0,2026-06-30,"교육용 가정(2026.2말 5,146조에 이후 지수 상승 반영) — KRX에서 확인",1
nps_share_of_mktcap_2026_02,0.077,2026-02-28,"언론 보도(395.1조 / 5,146.4조)",0
adv_trn_krw,20.0,2026-06-30,교육용 가정(국내주식 일평균 거래대금) — KRX에서 확인,1
participation_cap,0.01,2026-09-09,교육용 가정(연기금 순매도 참여율 상한),1
trading_days,240.0,2026-09-09,교육용 가정,1
aum_growth,0.07,2026-09-09,교육용 가정(순유입 + 운용수익),1
eq_kr_price_return,0.055,2026-09-09,교육용 가정(국내주식 가격수익 = μ 7.5% − 배당 2.0%),1
eq_kr_div_yield,0.02,2026-09-09,교육용 가정,1
share_cap,0.1,2026-09-09,교육용 가정(시장 점유 상한),1
horizon_years,5.0,2026-09-09,2026 → 2031,0
