param,value,asof,source,is_assumed
target_return,0.055,2026-09-09,2025.3 연금개혁 전제 — 기금수익률 5.5%(기존 4.5%에서 1%p 제고). 기금위는 2025.5.29부터 중기자산배분에서 '목표수익률' 용어를 쓰지 않는다(2025–2029 표기 5.4%),0
inflation,0.020,2026-09-09,교육용 가정(shortfall 기준선 = 5년 누적 물가),1
shortfall_cap,0.10,2026-09-09,기금운용지침 위험한도 — 5년 누적 수익률이 5년 누적 물가 이하일 확률 10% 이내(교육용 표기),0
cvar95_cap,-0.15,2026-09-09,기준포트폴리오 위험한도 — 95% CVaR −15% 이내(기금운용지침),0
horizon_years,5,2026-09-09,2027–2031,0
rc_cap_candidates,"0.90,0.80,0.70,0.60,0.50,0.40",2026-09-09,주식 위험기여 상한 후보(교육용),1
alt_max,0.15,2026-09-09,대체투자 상한 — 2031 목표 15% 내외,0
cash_fixed,0.001,2026-09-09,단기자금은 배분 대상에서 제외(잔여),1
rc_concentration_line,0.75,2026-09-09,위험 집중 기준선 — 강의 Part A '주식 RC ~75%'를 기준선으로(교육용),1
eq_kr_min,0.15,2026-09-09,국내주식 하한(교육용 가정) — 2027 목표 20.8%·2031 상한 19.4%(W4 K3) 사이의 정책 하한,1
bond_kr_min,0.15,2026-09-09,국내채권 하한(교육용 가정) — 급여 지급·유동성,1
bond_gl_max,0.15,2026-09-09,해외채권 상한(교육용 가정) — 2027 목표 7.4%의 2배,1
te_budget,0.010,2026-09-09,W4 제1호 조건 — BL 뷰의 TE 예산 1.0%,0
factor_rc_cap,0.60,2026-09-09,KIC 팩터 위험기여 상한 후보(교육용),1
mu_loss_cap,0.005,2026-09-09,위험예산 도입으로 허용하는 기대수익 하락 상한 0.5%p(교육용),1
delta,2.5,2026-09-09,BL 위험회피(W4와 동일),1
tau,0.025,2026-09-09,BL τ(W4와 동일),1
factor_cap_band,0.02,2026-09-09,팩터 상한의 운영 밴드 ±2%p(교육용) — SAA·TAA 허용범위처럼 뷰 틸트가 쓰는 여유,1
confidence_cap,0.20,2026-09-09,W4 제1호 기본 답 — 이력 없는 뷰의 자신감 상한 20%,0
